Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-17 20:00:00,10366.00000000,11680.99000000,10181.89000000,10988.79000000,15732.95768300,2018-01-17 23:59:59.999,171730543.26740973,120903,7905.59583600,86403478.29797938,0
2018-01-18 00:00:00,10972.59000000,11600.00000000,10650.00000000,10955.45000000,9452.00740600,2018-01-18 03:59:59.999,105800696.66386605,75490,4803.97505200,53820523.33460985,0
2018-01-18 04:00:00,10950.01000000,11325.06000000,10435.33000000,10472.97000000,8196.57367400,2018-01-18 07:59:59.999,88533543.36159985,65975,3994.22686900,43197536.76903303,0
2018-01-18 08:00:00,10461.71000000,11499.00000000,10440.01000000,11413.78000000,6725.66349700,2018-01-18 11:59:59.999,74365486.37524330,57106,3428.90573800,37887530.86731535,0
2018-01-18 12:00:00,11413.78000000,11878.82000000,11230.00000000,11700.00000000,8457.27940400,2018-01-18 15:59:59.999,97771051.82813143,72808,4198.72162800,48543385.14887560,0
2018-01-18 16:00:00,11696.99000000,11700.06000000,10888.00000000,11541.94000000,7545.89879600,2018-01-18 19:59:59.999,85145570.69504715,57907,3534.98535100,39894562.74833124,0
2018-01-18 20:00:00,11535.00000000,11742.95000000,10635.30000000,10961.97000000,8087.01216000,2018-01-18 23:59:59.999,89673265.13451684,63826,3853.56820700,42748266.79706180,0
2018-01-19 00:00:00,10960.00000000,11435.00000000,10360.00000000,10830.52000000,8231.73279700,2018-01-19 03:59:59.999,89451661.01000233,61750,3940.31813700,42802180.45289261,0
2018-01-19 04:00:00,10830.52000000,11333.00000000,10601.00000000,11069.72000000,5488.38227500,2018-01-19 07:59:59.999,60487786.60329641,41705,2846.55721400,31374040.07489210,0
2018-01-19 08:00:00,11060.00000000,11596.00000000,10950.00000000,11530.22000000,5898.41491200,2018-01-19 11:59:59.999,67322926.99393461,45429,2947.73014800,33649960.01927870,0
2018-01-19 12:00:00,11535.18000000,11795.00000000,11123.00000000,11400.00000000,6420.48879000,2018-01-19 15:59:59.999,74050227.72147793,52853,3183.96341200,36732251.56179379,0
2018-01-19 16:00:00,11383.16000000,11700.00000000,11003.00000000,11160.50000000,5110.59637900,2018-01-19 19:59:59.999,57852358.42489205,44985,2319.54574700,26274823.16366327,0
2018-01-19 20:00:00,11141.10000000,11487.39000000,11061.22000000,11474.98000000,2979.76026800,2018-01-19 23:59:59.999,33608538.47297587,26549,1633.30169700,18426421.61970195,0
2018-01-20 00:00:00,11474.98000000,11795.00000000,11412.45000000,11749.93000000,3661.42197000,2018-01-20 03:59:59.999,42589914.09510640,28403,1976.08298000,22991696.00930314,0
2018-01-20 04:00:00,11749.91000000,12869.00000000,11545.00000000,12660.98000000,9899.46096600,2018-01-20 07:59:59.999,122980195.47534687,74137,4817.51006800,59736511.64920217,0
2018-01-20 08:00:00,12660.98000000,12835.00000000,12300.00000000,12320.01000000,4266.52772200,2018-01-20 11:59:59.999,53678337.93762433,37823,2181.60293200,27473863.16261488,0
2018-01-20 12:00:00,12320.05000000,12700.00000000,12240.24000000,12539.05000000,3472.51867600,2018-01-20 15:59:59.999,43451311.36166178,34644,1597.25204600,19995494.12395626,0
